0x67C484,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Scott(Berserker)  Lv:3,0x52,0x33,0x00,0x1C,0x02,0x03,0x02,0x03,0x23,0x20,0x00,0x00,0x03,0x03,0x02,0x20
West Isles(Pirate)  Lv:8,0x7A,0x32,0x52,0x45,0x11,0x14,0x11,0x14,0x1C,0x68,0x00,0x00,0x00,0x00,0x0A,0x00
West Isles(Pirate)  Lv:8,0x7A,0x32,0x52,0x45,0x0F,0x12,0x0F,0x12,0x20,0x00,0x00,0x00,0x00,0x03,0x02,0x00
West Isles(Fighter)  Lv:9,0x7A,0x0A,0x52,0x4D,0x0A,0x07,0x0A,0x07,0x20,0x00,0x00,0x00,0x00,0x03,0x02,0x00
West Isles(Fighter)  Lv:9,0x7A,0x0A,0x52,0x4D,0x09,0x0C,0x09,0x0C,0x1E,0x00,0x00,0x00,0x00,0x03,0x22,0x00
West Isles(Fighter)  Lv:9,0x7A,0x0A,0x52,0x4D,0x0A,0x0A,0x0A,0x0A,0x1C,0x20,0x00,0x00,0x00,0x00,0x0A,0x00
West Isles(Archer)  Lv:11,0x7A,0x10,0x52,0x5D,0x0B,0x08,0x0B,0x08,0x28,0x6C,0x00,0x00,0x00,0x00,0x2A,0x00
West Isles(Mercenary)  Lv:10,0x7A,0x02,0x52,0x55,0x08,0x0A,0x08,0x0A,0x03,0x00,0x00,0x00,0x00,0x03,0x01,0x00
West Isles(Mercenary)  Lv:8,0x7A,0x02,0x52,0x45,0x0B,0x07,0x0B,0x07,0x01,0x6C,0x00,0x00,0x00,0x00,0x0A,0x00
West Isles(Fighter)  Lv:11,0x7A,0x0A,0x52,0x5D,0x09,0x0F,0x09,0x0F,0x1E,0x00,0x00,0x00,0x00,0x03,0x22,0x00
West Isles(Archer)  Lv:9,0x7A,0x10,0x52,0x4D,0x08,0x10,0x08,0x10,0x28,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
West Isles(Pirate)  Lv:10,0x7A,0x32,0x52,0x55,0x0A,0x14,0x0A,0x14,0x20,0x00,0x00,0x00,0x00,0x03,0x02,0x00
West Isles(Pirate)  Lv:10,0x7A,0x32,0x52,0x55,0x08,0x14,0x08,0x14,0x1C,0x00,0x00,0x00,0x00,0x03,0x02,0x00
West Isles(Mage)  Lv:10,0x7A,0x18,0x52,0x55,0x09,0x14,0x09,0x14,0x34,0x00,0x00,0x00,0x00,0x03,0x02,0x00
West Isles(Pirate)  Lv:11,0x7A,0x32,0x52,0x5D,0x04,0x15,0x04,0x15,0x1E,0x00,0x00,0x00,0x00,0x06,0x22,0x00
West Isles(Pirate)  Lv:11,0x7A,0x32,0x52,0x5D,0x05,0x17,0x05,0x17,0x1C,0x00,0x00,0x00,0x00,0x06,0x02,0x00
West Isles(Archer)  Lv:12,0x7A,0x10,0x52,0x65,0x04,0x16,0x04,0x16,0x28,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
West Isles(Mercenary)  Lv:12,0x7A,0x02,0x52,0x65,0x00,0x02,0x00,0x02,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
West Isles(Mage)  Lv:9,0x7A,0x18,0x52,0x4D,0x02,0x00,0x02,0x00,0x36,0x68,0x00,0x00,0x00,0x06,0x02,0x00
West Isles(Archer)  Lv:12,0x7A,0x10,0x52,0x65,0x00,0x0D,0x00,0x0B,0x28,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
West Isles(Mercenary)  Lv:12,0x7A,0x02,0x52,0x65,0x00,0x0C,0x00,0x0A,0x03,0x00,0x00,0x00,0x00,0x06,0x01,0x00
West Isles(Mage)  Lv:9,0x7A,0x18,0x52,0x4D,0x01,0x0D,0x01,0x0B,0x36,0x68,0x00,0x00,0x00,0x06,0x02,0x00
West Isles(Archer)  Lv:12,0x7A,0x10,0x52,0x65,0x0E,0x03,0x0E,0x03,0x27,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
West Isles(Fighter)  Lv:12,0x7A,0x0A,0x52,0x65,0x0D,0x02,0x0D,0x02,0x1C,0x00,0x00,0x00,0x00,0x06,0x3A,0x00
West Isles(Fighter)  Lv:12,0x7A,0x0A,0x52,0x65,0x11,0x03,0x11,0x03,0x1C,0x20,0x00,0x00,0x00,0x03,0x22,0x00
West Isles(Fighter)  Lv:12,0x7A,0x0A,0x52,0x65,0x14,0x03,0x14,0x03,0x1E,0x6C,0x00,0x00,0x00,0x06,0x3A,0x00
West Isles(Fighter)  Lv:12,0x7A,0x0A,0x52,0x65,0x0E,0x00,0x0E,0x00,0x26,0x00,0x00,0x00,0x00,0x03,0x2A,0x00
West Isles(Archer)  Lv:11,0x7A,0x10,0x52,0x5D,0x11,0x05,0x11,0x05,0x27,0x00,0x00,0x00,0x00,0x06,0x2A,0x00
West Isles(Archer)  Lv:11,0x7A,0x10,0x52,0x5D,0x14,0x05,0x14,0x05,0x27,0x00,0x00,0x00,0x00,0x03,0x00,0x00
