//wait	startindex	R,G,B Colors...
5	49	248,248,248	232,232,48	248,136,64
6	49	248,248,224	240,224,96	248,128,64
6	49	248,248,200	248,216,144	248,120,64
8	49	248,248,168	248,200,128	248,112,64
6	49	248,248,128	248,176,104	248,96,56
6	49	248,232,128	248,168,104	240,104,56
7	49	248,208,128	248,160,104	224,104,56
9	49	248,232,128	248,168,104	240,104,56
7	49	248,248,128	248,176,104	248,96,56
8	49	248,248,144	248,184,112	248,112,64
8	49	248,240,192	248,208,136	248,120,64
8	49	248,248,224	240,224,96	248,128,64
4	49	248,248,248	232,232,48	248,136,64
7	49	248,248,224	240,224,96	248,128,64
