0x67A39C,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Bern(Knight)  Lv:2,0x6F,0x0C,0x4C,0x15,0x0A,0x07,0x0A,0x07,0x10,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:3,0x6F,0x0C,0x4C,0x1D,0x0F,0x0C,0x0F,0x0C,0x10,0x00,0x00,0x00,0x00,0x03,0x01,0x00
Bern(Knight)  Lv:3,0x6F,0x0C,0x4C,0x1D,0x12,0x0C,0x12,0x0C,0x10,0x16,0x68,0x00,0x03,0x03,0x01,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x09,0x11,0x09,0x11,0x16,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x0B,0x11,0x0B,0x11,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x0E,0x0B,0x0E,0x0B,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x0D,0x04,0x0D,0x04,0x16,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x07,0x09,0x07,0x09,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x05,0x0B,0x05,0x0B,0x10,0x00,0x00,0x00,0x00,0x03,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x0E,0x08,0x0E,0x08,0x10,0x00,0x00,0x00,0x00,0x03,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x06,0x0D,0x06,0x0D,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x10,0x13,0x10,0x13,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x11,0x15,0x11,0x15,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x01,0x05,0x01,0x05,0x10,0x00,0x00,0x00,0x00,0x00,0x51,0x00
Bern(Soldier)  Lv:5,0x70,0x30,0x4C,0x2D,0x00,0x06,0x00,0x06,0x16,0x00,0x00,0x00,0x00,0x00,0x51,0x00
Bern(Soldier)  Lv:3,0x6F,0x30,0x4C,0x1D,0x11,0x0D,0x11,0x0D,0x10,0x00,0x00,0x00,0x00,0x00,0x11,0x00
Bern(Archer)  Lv:2,0x6F,0x10,0x4C,0x15,0x02,0x04,0x02,0x04,0x27,0x00,0x00,0x00,0x00,0x03,0x29,0x00
Bern(Archer)  Lv:2,0x6F,0x10,0x4C,0x15,0x09,0x0D,0x09,0x0D,0x27,0x00,0x00,0x00,0x00,0x03,0x29,0x00
