0x67B080,Unit Number,Class,Commander,Unit State,X1,Y1,X2,Y2,Item 1,Item 2,Item 3,Item 4,Primary AI,Secondary AI,Target AI,Retreat AI
Wagner(Shaman)  Lv:9,0x4F,0x1C,0x00,0x4C,0x05,0x01,0x0C,0x01,0x3F,0x00,0x00,0x00,0x03,0x03,0x00,0x20
Thria(Knight)  Lv:8,0x74,0x0C,0x00,0x45,0x0B,0x01,0x0B,0x01,0x10,0x16,0x00,0x00,0x03,0x03,0x02,0x00
Thria(Knight)  Lv:7,0x74,0x0C,0x00,0x3D,0x0D,0x01,0x0D,0x01,0x11,0x16,0x00,0x00,0x03,0x03,0x02,0x00
Thria(Mage)  Lv:7,0x74,0x18,0x00,0x3D,0x0C,0x05,0x0C,0x05,0x34,0x00,0x00,0x00,0x03,0x03,0x0A,0x00
Thria(Knight)  Lv:7,0x74,0x0C,0x00,0x3D,0x0C,0x07,0x0C,0x07,0x11,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Thria(Knight)  Lv:10,0x74,0x0C,0x00,0x55,0x0D,0x07,0x0D,0x07,0x10,0x00,0x00,0x00,0x00,0x00,0x02,0x00
Thria(Soldier)  Lv:10,0x74,0x30,0x00,0x55,0x0B,0x08,0x0B,0x08,0x16,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x0C,0x08,0x0C,0x08,0x10,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:10,0x74,0x30,0x00,0x55,0x0D,0x08,0x0D,0x08,0x10,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x0E,0x08,0x0E,0x08,0x16,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Thria(Soldier)  Lv:10,0x74,0x30,0x00,0x55,0x06,0x09,0x06,0x09,0x16,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x13,0x09,0x13,0x09,0x16,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Mage)  Lv:4,0x74,0x18,0x00,0x25,0x0C,0x09,0x0C,0x09,0x33,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Thria(Mage)  Lv:3,0x74,0x18,0x00,0x1D,0x0D,0x09,0x0D,0x09,0x34,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Thria(Soldier)  Lv:8,0x74,0x30,0x00,0x45,0x07,0x08,0x07,0x08,0x11,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Thria(Mercenary)  Lv:5,0x74,0x02,0x00,0x2D,0x07,0x0E,0x07,0x0E,0x01,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Thria(Soldier)  Lv:7,0x74,0x30,0x00,0x3D,0x12,0x08,0x12,0x08,0x16,0x00,0x00,0x00,0x00,0x06,0x02,0x00
Thria(Mercenary)  Lv:5,0x74,0x02,0x00,0x2D,0x12,0x0E,0x12,0x0E,0x01,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Thria(Mage)  Lv:4,0x74,0x18,0x00,0x25,0x0A,0x02,0x0A,0x02,0x33,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Thria(Mage)  Lv:4,0x74,0x18,0x00,0x25,0x0E,0x02,0x0E,0x02,0x34,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Thria(Knight)  Lv:5,0x74,0x0C,0x00,0x2D,0x06,0x03,0x06,0x03,0x10,0x68,0x00,0x00,0x00,0x03,0x01,0x00
Thria(Mage)  Lv:4,0x74,0x18,0x00,0x25,0x04,0x03,0x04,0x03,0x34,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x06,0x05,0x06,0x05,0x16,0x00,0x00,0x00,0x00,0x03,0x02,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x04,0x05,0x04,0x05,0x10,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Knight)  Lv:5,0x74,0x0C,0x00,0x2D,0x12,0x03,0x12,0x03,0x10,0x68,0x00,0x00,0x00,0x00,0x09,0x00
Thria(Mage)  Lv:4,0x74,0x18,0x00,0x25,0x14,0x03,0x14,0x03,0x33,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x12,0x05,0x12,0x05,0x16,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Thria(Soldier)  Lv:9,0x74,0x30,0x00,0x4D,0x14,0x05,0x14,0x05,0x10,0x00,0x00,0x00,0x00,0x00,0x0A,0x00
Sue(Nomad)  Lv:1,0x05,0x27,0x00,0x0A,0x02,0x09,0x02,0x09,0x00,0x00,0x00,0x00,0x00,0x03,0x00,0x00
